mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval,_src
loso,AAL,v2,Leuven,0.7124183006535948,0.7213114754098361,0.6889978213507625,0.7951807228915663,0.6734693877551021,0.9705882352941176,0.4074074074074074,0.5973258018493652,391.09540009498596,2.7861986003938264,34.0,32258.0,61.0,run_20260620_073443
loso,AAL,v2,MaxMun,0.5231481481481481,0.5238095238095238,0.5416666666666666,0.5,0.625,0.4166666666666667,0.6666666666666666,0.6738417744636536,645.1360590457916,3.3790611085437594,56.0,32258.0,42.0,run_20260620_073443
loso,AAL,v2,NYU,0.722253284875594,0.6842105263157895,0.6843024881185351,0.7127659574468085,0.7444444444444445,0.6836734693877551,0.6849315068493149,0.4665209949016571,265.74179697036743,3.7403622565910832,24.0,32258.0,171.0,run_20260620_073443
loso,AAL,v2,OHSU,0.5,0.4782608695652174,0.4810606060606061,0.4999999999999999,0.4615384615384616,0.5454545454545454,0.4166666666666667,0.5887127518653871,243.84031343460083,2.5977362757143765,21.0,32258.0,23.0,run_20260620_073443
loso,AAL,v2,Olin,0.8376623376623376,0.68,0.6753246753246753,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.3835932016372681,271.7681887149811,2.923583984375,23.0,32258.0,25.0,run_20260620_073443
loso,AAL,v2,Pitt,0.8260869565217391,0.7333333333333333,0.7292490118577075,0.7777777777777777,0.6774193548387096,0.9130434782608696,0.5454545454545454,0.5282550454139711,243.0859487056732,2.9101530710856114,21.0,32258.0,45.0,run_20260620_073443
loso,AAL,v2,SBL,0.7916666666666666,0.6538461538461539,0.6607142857142857,0.6666666666666665,0.6,0.75,0.5714285714285714,0.6187059283256531,244.31172108650208,2.604777996356671,21.0,32258.0,26.0,run_20260620_073443
loso,AAL,v2,SDSU,0.7420634920634921,0.6666666666666666,0.6845238095238095,0.7027027027027026,0.8125,0.6190476190476191,0.75,0.5526095032691956,245.90495777130127,3.449208808667732,21.0,32258.0,33.0,run_20260620_073443
loso,AAL,v2,Stanford,0.739938080495356,0.5,0.5201238390092879,0.25,0.6,0.15789473684210525,0.8823529411764706,0.4146167635917664,340.54872822761536,3.3059649997287326,29.0,32258.0,36.0,run_20260620_073443
loso,AAL,v2,Trinity,0.6708074534161489,0.6136363636363636,0.6221532091097308,0.5405405405405405,0.7142857142857143,0.43478260869565216,0.8095238095238095,0.7118734121322632,277.13361811637884,3.438115119934082,24.0,32258.0,44.0,run_20260620_073443
loso,AAL,v2,UCLA,0.7122507122507122,0.6133333333333333,0.608974358974359,0.6588235294117647,0.6086956521739131,0.7179487179487181,0.5,0.4695005416870117,241.57674360275269,2.969338099161784,21.0,32258.0,75.0,run_20260620_073443
loso,AAL,v2,UM,0.6685897435897437,0.5486725663716814,0.5641025641025641,0.5405405405405406,0.6521739130434783,0.4615384615384616,0.6666666666666666,0.5894761085510254,273.3916916847229,3.5774328012382037,24.0,32258.0,113.0,run_20260620_073443
loso,AAL,v2,USM,0.7597254004576659,0.6885245901639344,0.7242562929061784,0.6779661016949152,0.5555555555555556,0.8695652173913043,0.5789473684210527,0.4513942897319794,276.8770003318786,3.6625314931400488,24.0,32258.0,61.0,run_20260620_073443
loso,AAL,v2,Yale,0.7482517482517482,0.7083333333333334,0.7097902097902098,0.7199999999999999,0.75,0.6923076923076923,0.7272727272727273,0.5879303812980652,462.1480553150177,2.9906233151753745,40.0,32258.0,48.0,run_20260620_073443
